incident_num,offence_code_group,occurred_on_date,UCR_part,latitude,longitude
I182001960,"Aggravated Assault","08/01/2018 21:07","Part One",4.235.370.585,"-7.105.898.587"
I182001974,"Aggravated Assault","08/01/2018 22:33","Part One",4.233.210.843,"-7.107.014.395"
I182001983,Larceny,"08/01/2018 22:52","Part One",4.234.280.177,"-7.110.069.510"
I182001987,"Larceny From Motor Vehicle","08/01/2018 22:57","Part One",4.232.177.032,"-7.109.779.774"
I182002035,"Larceny From Motor Vehicle","08/01/2018 23:00","Part One",4.235.235.362,"-7.105.815.283"
I182002379,"Larceny From Motor Vehicle","09/01/2018 00:00","Part One",4.234.976.402,"-7.106.045.076"
I182002388,Larceny,"09/01/2018 00:00","Part One",4.227.800.645,"-7.113.733.723"
I182005450,Larceny,"09/01/2018 00:00","Part One",4.234.848.082,"-7.110.639.861"
I182002022,Robbery,"09/01/2018 07:43","Part One",4.226.817.397,"-7.109.387.677"
I182002043,Larceny,"09/01/2018 09:11","Part One",4.234.901.954,"-7.108.130.134"
I182002079,Larceny,"09/01/2018 09:58","Part One",4.235.648.631,"-7.105.928.145"
I182002088,"Aggravated Assault","09/01/2018 11:24","Part One",4.235.478.278,"-7.113.598.711"
I182002092,Larceny,"09/01/2018 12:00","Part One",4.235.512.339,"-7.106.087.980"
I182013450,Larceny,"09/01/2018 12:00","Part One",4.227.700.963,"-7.107.431.626"
I182002098,"Residential Burglary","09/01/2018 12:23","Part One",4.231.086.842,"-7.107.425.854"
I182002107,"Aggravated Assault","09/01/2018 12:49","Part One",4.229.919.694,"-7.106.046.974"
I182002131,"Aggravated Assault","09/01/2018 13:28","Part One",4.227.685.989,"-7.113.757.584"
I182002130,Larceny,"09/01/2018 13:43","Part One",4.231.771.534,"-7.109.823.049"
I182002157,Larceny,"09/01/2018 14:25","Part One",4.226.194.848,"-7.110.971.613"
I182002143,Larceny,"09/01/2018 14:30","Part One",4.226.701.085,"-7.112.096.171"
I182002170,"Residential Burglary","09/01/2018 14:43","Part One",4.230.116.123,"-7.107.284.279"
I182010228,Larceny,"09/01/2018 15:00","Part One",4.232.291.406,"-7.110.328.402"
I182002169,"Residential Burglary","09/01/2018 15:15","Part One",4.224.625.203,"-7.112.479.983"
I182002195,Larceny,"09/01/2018 15:15","Part One",4.235.064.439,"-7.106.811.584"
I182002193,Larceny,"09/01/2018 16:06","Part One",4.234.862.382,"-7.108.277.637"
I182002545,Larceny,"09/01/2018 16:20","Part One",4.229.878.438,"-7.106.011.998"
I182002211,Larceny,"09/01/2018 16:29","Part One",4.235.237.073,"-7.107.227.173"
I182002197,Robbery,"09/01/2018 16:59","Part One",4.238.284.675,"-7.100.049.462"
I182002311,Larceny,"09/01/2018 17:00","Part One",4.228.933.096,"-7.108.351.742"
I182002566,"Residential Burglary","09/01/2018 17:00","Part One",4.224.643.272,"-7.111.929.349"
I182002240,Larceny,"09/01/2018 18:15","Part One",4.235.512.339,"-7.106.087.980"
I182002256,Larceny,"09/01/2018 18:15","Part One",4.235.512.339,"-7.106.087.980"
I182004658,Larceny,"09/01/2018 18:17","Part One",4.236.496.663,"-7.106.157.974"
I182002266,"Residential Burglary","09/01/2018 18:27","Part One",4.237.063.654,"-7.103.793.213"
I182002246,Robbery,"09/01/2018 18:35","Part One",4.230.433.950,"-7.108.477.887"
I182002261,Larceny,"09/01/2018 18:45","Part One",4.235.602.373,"-7.106.177.615"
I172046076,Robbery,"09/01/2018 19:30","Part One",4.235.512.339,"-7.106.087.980"
I182004250,Larceny,"09/01/2018 20:00","Part One",4.234.901.954,"-7.108.130.134"
I182002277,"Other Burglary","09/01/2018 20:18","Part One",4.231.332.153,"-7.107.591.511"
I182002282,Larceny,"09/01/2018 20:30","Part One",4.234.900.457,"-7.113.649.962"
I182002275,Larceny,"09/01/2018 20:49","Part One",4.227.850.409,"-7.111.860.697"
I182002280,Larceny,"09/01/2018 21:15","Part One",4.230.511.791,"-7.108.019.088"
I182002284,"Larceny From Motor Vehicle","09/01/2018 21:15","Part One",4.234.888.042,"-7.106.149.764"
I182002698,Robbery,"09/01/2018 21:35","Part One",4.232.943.305,"-7.108.333.026"
I182002306,Larceny,"09/01/2018 22:15","Part One",4.232.420.322,"-7.107.279.044"
I182002300,Robbery,"09/01/2018 23:04","Part One",4.228.787.216,"-7.105.506.324"
I182002310,Larceny,"09/01/2018 23:10","Part One",4.236.608.625,"-7.105.696.428"
I182002751,Larceny,"10/01/2018 04:30","Part One",4.237.167.264,"-7.106.326.413"
I182002341,"Larceny From Motor Vehicle","10/01/2018 05:58","Part One",4.235.193.461,"-7.106.048.592"
I182002344,"Auto Theft","10/01/2018 06:00","Part One",4.231.249.706,"-7.105.731.757"
I182079201,"Larceny From Motor Vehicle","10/01/2018 07:10","Part One",4.234.607.870,"-7.109.566.840"
I182002349,"Larceny From Motor Vehicle","10/01/2018 07:16","Part One",4.232.532.139,"-7.109.708.142"
I182002764,"Residential Burglary","10/01/2018 08:00","Part One",4.233.665.244,"-7.102.614.243"
